 Level,Enemy_Difficulty,Odds_of_Tubes,Jump_Difficulty,Odds_of_Cannons
1,2.0,2.0,2.0,2.0
2,-2.2111754,-2.5480864,-3.2057397,1.0361509
3,0.22769809,0.7294373,2.6724062,3.0096836
4,1.0968404,-0.2981112,-1.5001922,0.11281073
5,3.0813715,1.0095927,0.78862864,3.692554
6,2.1716723,0.49393573,-0.30758163,0.8139652
1,2.0,2.0,2.0,2.0
1,2.0,2.0,2.0,2.0
2,1.984347,0.2935025,-1.3079095,0.018763661
3,1.8822631,0.35967886,0.86439186,0.45340955
4,2.371828,0.28305367,-0.83175033,2.4384198
5,2.0789065,0.47936055,-0.42099473,0.76638883
6,2.545268,0.6499545,-0.71962464,0.36103255
