 Level,Time_Spent,Distance_Covered,Kills,Coins,Actions_Performed,Jumps_Performed
1,4,18,0,0,121,2
2,50,75,0,26,300,12
2,20,31,0,9,300,11
2,40,39,1,22,300,13
2,10,51,0,5,299,7
2,60,78,1,18,300,9
2,30,36,0,19,300,8
2,63,32,0,7,102,3
3,50,43,0,9,300,7
3,20,69,0,25,300,12
3,55,26,1,4,164,4
3,40,66,0,16,300,9
3,10,61,0,11,299,7
3,30,36,1,16,300,7
4,20,55,2,14,300,9
4,21,8,0,8,57,2
4,10,2,0,0,299,0
5,50,78,0,26,300,11
5,20,74,0,22,300,12
5,70,71,0,30,300,15
5,71,11,0,4,45,2
5,40,73,0,34,300,13
5,10,49,0,15,299,8
5,60,81,0,31,300,11
5,30,62,0,23,300,13
6,9,38,1,17,289,7
