UserID,Level,Time_Spent,Distance_Covered,Kills,Coins,Jumps_Performed,Enemy_Difficulty,Odds_of_Tubes,Jump_Difficulty,Odds_of_Cannons
1,1,11,31,3,8,6,2,2,2,2
1,2,65,499,0,177,86,-2.2111754,-2.5480864,-3.2057397,1.0361509
1,3,8,48,0,3,7,0.22769809,0.7294373,2.6724062,3.0096836
1,4,8,72,2,21,7,1.0968404,-0.2981112,-1.5001922,0.11281073
1,5,5,41,1,7,6,3.0813715,1.0095927,0.78862864,3.692554
1,6,12,92,1,27,13,2.1716723,0.49393573,-0.30758163,0.8139652
2,1,36,167,2,42,35,2,2,2,2
2,2,84,499,0,162,95,-1.1936543,-0.9654815,0.17169249,-0.56272864
2,3,3,22,0,0,2,0.66504633,1.1305143,3.4356918,4.3344345
2,4,17,67,1,19,12,2.101986,0.5403266,1.8213937,0.69677347
2,5,55,499,0,98,65,-1.4079533,-1.9504097,-2.693573,-0.4386568
2,6,13,84,1,9,16,1.5309681,0.04912169,1.0117198,3.2134333
3,1,4,18,0,0,2,2,2,2,2
3,2,63,342,2,106,63,0.13667257,-0.9168622,0.10926566,-0.04133451
3,3,55,301,2,81,46,0.005561978,-0.5001036,1.5271606,1.7558643
3,4,21,65,2,22,11,0.056097537,-0.9901853,0.180872,0.66812664
3,5,71,499,0,185,85,-1.1009855,-1.5800891,-1.7240297,0.9026661
3,6,9,38,1,17,7,0.5831707,0.6311686,2.4988303,3.2073498
4,1,9,39,0,6,3,2,2,2,2
4,2,56,499,0,139,66,-0.71426404,-1.4629525,-0.67165905,0.12683225
4,3,4,24,0,5,2,1.491932,0.046060305,1.0350025,3.211761
4,4,26,195,0,52,26,1.3183424,-0.171333,1.0156242,0.11254352
4,5,11,57,0,12,6,1.0151167,0.5660924,1.7235053,0.32495326
4,6,27,230,0,54,31,0.013421625,-1.0318007,-0.008276984,0.034299314
5,1,5,32,0,7,5,2,2,2,2
5,2,4,27,0,9,2,1.46061,0.026332345,-0.98805916,-0.19702858
5,3,17,135,2,40,16,2.1399364,0.43503377,1.8806283,0.6397346
5,4,18,150,3,29,19,1.1150422,0.6029074,1.519171,0.66984457
5,5,10,7,0,0,1,1.3355485,0.90528184,1.6358068,1.0121341
5,6,8,41,3,8,7,4.3616486,3.3627548,5.6125803,3.011991
6,1,7,40,0,1,3,2,2,2,2
6,2,5,35,1,13,4,0.7001685,-0.67061967,0.47666335,-0.12264538
6,3,7,59,0,12,8,1.3352977,-0.013003126,0.33642444,0.19425452
6,4,8,38,0,6,5,2.8512254,0.84022564,-0.3775387,0.6710731
6,5,63,499,3,140,76,-0.1896917,-1.1405233,-0.52712613,0.00656575
6,6,8,28,0,6,2,1.5900851,-0.008348875,1.4943242,3.6092772
7,1,9,51,0,2,7,2,2,2,2
7,2,10,0,1,0,0,0.5533818,-0.7365945,-1.7540013,-0.002068162
7,3,4,20,0,4,3,2.2341118,0.89991367,2.2607658,0.8499266
7,4,14,113,0,22,16,0.4408728,-0.6174382,0.018585585,-0.093504846
7,5,23,131,3,21,24,3.6328013,1.3802321,1.1934788,2.557871
7,6,26,222,0,44,27,0.03366676,0.05747051,0.9189702,0.09670395
8,1,7,8,0,0,0,2,2,2,2
8,2,61,499,0,85,48,-1.3581697,-1.7239808,-1.5466554,0.15638256
8,3,6,27,0,5,3,3.4561934,1.6925263,0.72695434,3.4376025
8,4,44,360,3,80,42,-0.101956755,-1.0774829,-0.002844818,0.037937105
8,5,11,80,0,16,8,2.4094877,-0.7385545,-0.12922066,1.9069798
8,6,3,15,0,0,1,2.6744883,0.65674573,0.019203164,0.8136036
9,1,29,169,1,8,24,2,2,2,2
9,2,54,325,0,55,46,-0.033336878,0.034052167,1.3310431,-0.009040654
9,3,66,499,0,106,56,-2.3324976,0.29410958,1.6466148,0.55679065
9,4,39,140,0,24,17,2.9799762,0.92587966,1.1773498,3.466673
9,5,9,51,1,12,4,-0.2879402,0.13993289,2.4342182,1.258635
9,6,60,355,1,108,41,0.3372114,-0.7430213,0.28007933,-0.2905923
10,1,6,17,0,0,2,2,2,2,2
10,2,59,499,0,41,40,-0.81036246,-1.5123289,-0.5257264,0.20250106
10,3,19,73,0,10,9,3.934857,1.975957,0.79013366,3.47304
10,4,55,499,0,47,38,-1.1562669,-1.7549807,-0.5928494,0.3090724
10,5,13,86,1,12,8,3.7673001,2.025715,0.77112246,3.5059524
10,6,7,58,2,14,6,2.1020825,0.44688776,1.0524589,0.5787515
